,recall,sent
61598,"Свитер хорошего качества, думала будет потоньше, а он на холодную осень. Очень мягкий и приятный к телу. Спасибо продавцу за подарок.",positive
36175,кофта так и не пришла(((,neautral
59100,"свитер супер. размер на русский 42 то что надо, в меру свободный. ткань приятная и толстая, великолепный зимний вариант. однозначно рекомендую",positive
44379,Заказала штаны размере XL. мой рост 173 см. Мне штаны малы. Подошли дочери- рост 158 см.,neautral
10235,размерная  сетка не соответствует  описанию.  очень большая.  качество ткани ужасное,negative
63678,"Все отлично угадал с размером,жене понравилось!)",positive
42217,ткань - тонкий трикотаж,neautral
82887,"Свитер очень мягкий и приятный на ощупь. Рукава короткие в обтяг. Цвет на тон светлее чем на картинке. Пришел за 18 дней до Тюмени. Я довольна заказом, продавца реклмендую.",positive
40309,"бюстгалтер не держит грудь,отлипает",neautral
55385,"Заказом остались очень довольны, закажу ещё одну) ткань хорошая, швы все ровные , советую ",positive
13994,этим всё сказано,negative
48546,Очень открыта спина,neautral
34145,"На 40 размер заказала s. Сели чуть свободнее чем легенсы. Товар не соответствует действительности. Значительно уже. Один плюс, быстрая доставка.",neautral
4751,Юбка ужас. Материал похож на детские колготки.  В шоке от отзывов кому это понравилось. Как в таком можно выйти на улицу? Никому не советую.,negative
52886,"пятна, сильно большое, длинное, курьер порадовал",neautral
32564,Штаны не подошли по размеру по качеству хорошие ,neautral
46485,"Качество среднее, продавец очень долго отправлял, при этом первый заказ вообще не отправил, деньги вернули. Размер Л мал 75в,объем груди 89 см. Я ожидала большего.",neautral
38706,"Юбка норально, а кофта в плечах где идет шов через чур объемная, т.к. швы не плоские , а выпуклые,и там много материала. смотрится не очень....",neautral
65928,"сказать что я очень давольна, это ничего не сказать!  офигенная футболка ... L- на 95-80-99см рост 168. Свободно , так как нужно! Закажу белую! брала за 290р",positive
16376,"Цвет шарфа не соответствует описанию, вместе чёрного-коричневый и тд",negative
45591,"Заказывала нежно голубую с цветами, пришла салатовая и качетсво печати цветов неочень. хотя другие рубашки этого производителя хорошие",neautral
81212,"Очень хорошее платье, плотное. Доставка курьером. На ОГ 97 хорошо. На рост 164 ниже колена. Спасибо, хороший товар.",positive
4911,"очень плохое качество товара, швы не ровные, заказывали большой размер, но он оказался мал",negative
24369,кофта тонкая. ещё и пришла с белым пятном. которое не отстируется (((,negative
25101,Товар не отправили. Деньги пришлось возвращать по спору и то только после вмешательства Алиэкспресс,negative
73174,"хорошая блузка, все швы аккуратные,никакого запаха нет. На 42 размер заказывала М - сидит свободно,само то на лето. Товар пришел быстро, трек отслеживался. в целом заказом довольна!",positive
31124,Курточка очень тонкая я думала что она толще ,neautral
9602,"не соответствует размеру 5xl подходит на 44 р ,очень разочаровался.",negative
61869,Все супер! Жена в восторге!,positive
71001,"хорошая куртка.на грудь 106 см размер 3хl в самый раз.дошла до Архангельска недели за две,принес курьер",positive
49058,"юбка сама по себе не плохая, хорошо тянется, на мои 44-46 р. L село хорошо.Доставка меньше месяца до Башкирий. Но я думала что она будет голубой, а на самом деле серая с голубезной.",neautral
20783,"Товар не соответствует описанию размерной таблице.На русский 54 размер(объем груди 112) я заказала куртку 4XL, по описанию таблицы(на объем 118),а на самом деле это где-то на 50 размер. оплатила в конце августа, товар пришел в середине октября.",negative
68627,"Отличная, мех классный!",positive
69200,"Заказала 20 сентября, кофта пришла только 8 ноября. Трек отслеживается, очень долго шла до России. Заказывала размер L на 44-46 русский, в груди впритык, даже в натяг почти. На мой небольшой рост 163, рукава маловаты, тоже впритык. Резинка слабая, думаю быстро растянется, да и по плотности думала будет потолще. А так на размер L рукава 60 см, длина 61, объём в груди 46 см.",positive
64964,Не однозначное платье))) очень большие вырезы. своих денег не стоит.,positive
70863,"Свитерок замечательный на параметры 86-64-90 подошел идеально. По фасону спереди короче, чем сзади. При стирке не растянулся и не полинял, связан аккуратно, нитки нигде не торчат. Стирала руками, при 30 градусах.",positive
27975,"платье красивое но прозрачное и  материал ужасный , совсем не тянется я еле влезла!  заказала с на размер 42 44 и подошло бы , если б не ткань.  короче я в этом платье как рыцарь в доспехах, сковывает движения.",neautral
43402,"материал конечно синтетика но мягкий и приятный на ощупь, слишком короткая и низ неаккуратно вырезан. а так доставка быстрая 2 недели до Якутии. доставка все отслеживалось",neautral
76094,"Не совсем то,чего я ожидала, но за такие деньги очень хорошо. Буквы приеклеены - это минус. Немного большая. Доставка была 3 недели.",positive
50358,Короткие на рост 162!очень жаль (((,neautral
14146,"кофта сшита на изнанку, если бы было все хорошо, то покупке бы была рада, сейчас жду что решат по спору.",negative
14464,Блузка пришла грязная,negative
82560,Качество хорошее. За свою цену очень хорошая вещь. Мой рост 169 вес 60 заказывала размер M мне идеально подошло ,positive
36176,"размер мой, НО на мой рост короткие",neautral
14838,"Штаны очень КОРОТКИЕ на мой рост 170 см, как бриджи",negative
33857,"ткань тонкая, слегка просвечивает. ажур совсем тоненький и стрейч. в верхней чадоз сти рукава широко. мои параметры 92-62-95. сидит свободно, особенно в талии. швы вообще 5 косяков в разных местах. спор вернул 100 р.",neautral
1854,"Товар пришёл бракованным. Продавец делает вид, что не понимает моих сообщений и не возвращает деньги. УЖАСНОЕ отношение. Больше заказывать у него ничего не буду. ",negative
80891,"18 дней в дороге до Тулы. отличная блузка!!!! красивый узор, упаковано аккуратно! взяла размер 5 XL но оказалось немного велико  на обычный 48 размер.  рукава длинные на мой рост 175. отлично! немного ушить в талии.",positive
29897,"товар очень маленький,максимум 42-46 размер,в остальных случаях будет в обтяжку,короткий,и у меня пришел с браком-дырки и затяжки,я не советую",neautral
66977,Маленький размер где то на 40-42,positive
6364,"Очень плохое качество. Размер не соответствует. Кружево обрезано не аккуратно, есть порезы самого изделия. Спор не разрешен. Худшего товара я еще не видела!!!!",negative
49143,"Вообщем блузка не плохая,только ткань порвалась после первой стирки. ",neautral
10705,не пришли,negative
9560,"Доставка почти 2 мес.  Бюст. г...(простите)! но честно! клейкая основа держит частично.  у меня размер С, заказала D. скажу так... наверно он расчитан для девушки-подростка или на силиконовую грудь.",negative
47622,"не все швы прострочины ,много ниток.  Поэтому оценка ниже",neautral
79594,Все отлично спасибо ,positive
56370,"На 40 российский размер в самый раз. Тоненькая, но для прохладного лета то что надо",positive
37492,за такую цену норм. доставка месяц,neautral
3384,цвет не соответствует,negative
70992,мне ткань не погравилась.сидит не по фигуре.мне кажется что наоборот полнит.,positive
58090,все супер. рекомендую. нет плохого запаха.,positive
48040,"Заказ пришёл примерно за 2 недели.Ткань на ощупь приятная,нитки не торчат,узоры красивые очень!!!!Но единственное что мне не понравилось это то,что очень большой вырез и плечи когда я одела спадали,размер оказался большимерка(заказывала S)",neautral
80092,"товар соответствует описанию в Ростов пришёл за 3 недели, цена соответствует качеству",positive
10306,"фуфло, пришла с пятнами деньги не вернули, не советую.",negative
82595,"Пуховик хороший. Мех, ткань, швы - претензий нет. На мой рост 164 до середины голени. Сняла звезду, так как он не прямой, как на фото, а колоколом. В остальном полностью соответствует описанию.",positive
24481,"S по таблице на мой русский 46. Но комбез не подошел, мал. Качество низкое, ткань синтетика, есть запах, какие то нитки, на груди белое пятно, возможно отстирается. Продавца не рекомендую.",negative
81522,"прекрасный шарфик,очень мягонький! цвет мятный как на фото.очень довольна! закажу ещё другого цвета.",positive
11120,"Добрый день, кофта вся стянутая,не так как на картинке,не правильно сшита! Верните деньги или какие варианты?",negative
38610,Как на вешалке мой размер 52 вес 80 рост 165,neautral
24910,не понравились. сшиты не стандартно.маломерки.не заказывайте в общем,negative
66959,"рада, спасибо",positive
64900,Платье отличное! 4 звезды за очень долгую доставку.,positive
70558,"очень хорошее пальто,разменной сетке и описанию соответствует.спасибо за подарочек.",positive
24610,"Заказала бежевую куртку. Продавец сначала не отправлял,потом написал,что в наличии есть только чёрная. Я попросила вернуть деньги,объяснив тем,что мне нужен именно тот цвет,который я заказа. На мою просьбу продавец ответил отказом. Хорошо. Далее продавец отправляет мне посылку...что пришло-это ... кошмар. Красная непонятная ветровка с бракованным замком,который даже не расстёгивался. 2 звезды за то,что хотя бы деньги вернули. А куртку ту- на помойку ",negative
48383,"платье пришло и вроде  такое же,  но очень широкое и на фигуре смотрится как будто очень большое,  хотя в плечах нормально.  если было бы немного уже  смотрелось бы колокольчики как на картинке,  а так только на пляж и обратно..",neautral
6661,Плохое качество ,negative
45363,рукав очень длинные,neautral
60596,На свой русский размер 46 заказа М . Впритык. Нужно было заказать L.,positive
6440,ничего не пришло за 90 дней. не советую.,negative
8922,"товар не пришел. деньги никто не вернул ,заказывала несколько халатов(",negative
18084,Два месяца ждала доставку. Трек не отслеживался. Открыла спор. Продавец просил его закрыть и подождать еще. Но сколько еще можно ждать? Информации по треку вообще никакой. Деньги вернул Али. ,negative
75793,"классная, яркая и качество отличное. фото позже кину, т. к. сразу в стирку бросила",positive
11448,"Рукав был не полностью прошит, что очень огорчило. ",negative
15108,Не подошло ! Продавец деньги отправил,negative
29223,"товар не пришёл, деньги вернули.",neautral
487,Качество стремное.,negative
34039,"Здравствуйте. Очень ждала этот свитер. Качество свитера отличное!,  меня очень устроило, цвет замечательный, НО.... размер 4ХХL не соответствует. Это ХL не больше! Я ещё волновалась, что будет велик, но, увы и ах, свитер мне мал, хотя покупала вещи  на Алиэкспресс  до этого, 4ХХL - это мой размер. Возвращать я конечно не буду, подруге подарю, хотя обидно. думала ещё у вас заказать другие вещи. Буду рада, если вы захотите как-то исправить ситуацию.",neautral
59199,"платье красивое, как в описании, но торчали нитки и резинка на пояснице расползается. а так в целом довольна. Отличное платье за такие деньги.",positive
67602,"Приятный материал, хорошо тянется, но подчеркивает все недостатки фигуры. Цвет понравился. Посмотрим как поведет себя после стирки.",positive
32953,"ткань не шифон,как заявлено, типа плащевки,можно сказать не тянется, в жаркую погоду не пойдет, воздух совсем не пропустит, но при определенной погоде можно одеть, швы смотрятся слабоватыми, ровные,без торчащих ниток, но слабые, есть риск что быстро распускаться начнут,но а в целом пойдет,для разнообразия и такой блузке может найтись место в гардеробе.доставка около месяца. размер на свой 42-44 заказала L, подошел идеально,плечи на месте,в груди не жмет,сидит как надо и на спине хорошо легла, в общем и целом недостаток ткань так себе,а все остальное хорошо",neautral
51945,"кофта не очень хорошего качества,шла долго,на мой 42 размер рукава короткие.",neautral
79397,"Свитер хороший, хлопок с синтетикой, рукава и длина на рост 178 см не длинные, в самый раз",positive
1887,"Заказ так и не получила, деньги вернули без проблем ",negative
23544,"Посылка не пришла, пришло уведомление, что заказ завершён, и в то же самое время, что ожидается отправка из Китая. Посылка придёт или нет?",negative
68782,"На 44 размер впритык прям) по длине норм) но если кто то по свободнее хочет,то берите побольше",positive
69386,Хорошая шапочка. За такие деньги супер!!  Доставка быстрая все отслеживалась!! Продавцу большое спасибо!,positive
82497,"ошиблась с размером,буду перешивать.Ткань на троечку ,будут затяжки.Но вобщем за такую цену, самое то.По этому ставлю четверку",positive
43192,сильно просвечивает и очень широкая,neautral
39350,"Хорошая футболка, качественная. Но сильно маломерит. Заказала L, сидит в облипку, соответствует размеру 42-44. Расстройство. ",neautral
20876,"трек не отслеживается, сорочка короткая очень, продавец на сообщения не отвечал, описание товара не соответствует",negative
11097,"После 2-х месяцев ожидания товар так и не пришёл, и после долгих споров с продавцом все таки вернули деньги",negative
61279,только получила товар. внешне всё отлично.  еще не мерила. позже добавлю комментарии,positive
77991,"Отличная куртка. На размер 40-42 отлично S. Не скажешь, что не кожа. Очень мягкая.",positive
59990,"Юбочка хорошая, но очень короткая",positive
75085,"Продавца рекомендую. Кофточка нежная, приятна к телу. На 46 размер брала XL.",positive
30287,"доставка быстрая, размер подошёл, но качество ужасное , галимая синтетика, чего ещё  стоило ожидать за такую цену.",neautral
55826,"покупкой довольна, приличная вещица",positive
5618,"ОТВРАТИТЕЛЬНО! Продавец ОБМАНЩИК! 
Жилетка абсолютно не соответствует описанию и фото продавца! Длина жилета заявлена 70 см, на самом же деле длина всего лишь 66 см. Я выбрала размер S,  обхват груди заявлен 88 см, на самом деле 84 см. Естественно жилет маленький и даже не застегивается! Я трижды спрашивала продавца какая действительно длина жилета, ответ был всегда 70 см, на самом деле только 66 см. На замше жилета три пятна на самых видных местах! Жилет очень тоненький, меха очень мало и почему-то он разный. Вверху мягкий и пушистый, а начиная с середины грубый и жесткий. Более того продавец очень долго отправлял заказ, а в последний день отправки перевел в статус отправлено, а на самом деле только шил мою жилетку и прислал фото через три дня! Отношение отвратительное, заблокировал меня, чтобы я не смогла писать сообщения!",negative
45952,"До МО почти 2 месяца - продавец очень долго отправлял. Заказывала бежевый и зеленый - цвета соответствуют заявленным. Размер L на 44 русский маловат, лучше берите XL. На зеленом есть этикетка и он чуть больше бежевого и по качеству лучше. Мягкие, к телу приятные, но скорее всего 100% акрил. Брала за 620руб/шт - дороговато за такое качество.",neautral
55330,"Хорошая, только немного коротковата",positive
67222,Юбка чудесная. качество хорошее. на рост 175 ниже колена.,positive
71113,"На 44 р. взяла размер L, подошло. Качество хорошее, цвет как на фото. спасибо продавцу!",positive
71783,"пришло в черном пакете в количестве 5 шт. 
прибыл  в пригород Красноярска 21.10.2017, был отправлен 22.09.2017
Заказывала размер XL на  размер 40-42, немного великоваты.
 В целом не плохие, только нитки в одном месте торчат.",positive
32653,"Ниче такая, прикольная. Но она как видите объемная. ",neautral
58575,Соответствует описанию.,positive
79242,"Платье красивое, темно-синее, материал плотный. Доставка быстрая, товар  рекомендую.",positive
30839,Ну,neautral
52799,футболка короткая,neautral
38490,"Товар не пришел вовремя, продавец вернул деньги быстро! советую, как честного продавца!!!",neautral
33182,"Толстовка так себе, молния металическая дешёвая, желтая, не как на фото, от этого вид хуже.сшита неплохо, но верх блестящая синтетика, быстро покрывающаяся каташками(пошла на дачу(",neautral
61080,"Низкое качество печати, тонкие. В них только дома заниматься, на улицу я б не пошла.",positive
48066,"Цвет на фото более насыщенный и ткань тонкая,синтетика.С размером я угадала,но рукава длинные и широкие,в четырех местах торчат нитки.Я разочарована.",neautral
33900,"Очень удивлена отзывами об идеальной посадке. Модель вообще не подошла, на очень странную фигуру. В талии отлично, шорты очень некрасиво болтаются. ",neautral
22416,"Не пришли, продавец проигнорировал",negative
22785,Дырки в кружевах лифа,negative
14833,poor quality. smell even after washing. the seller was rude hamit did not like it. very displeased,negative
71625,"Хороший пуховичек за такую цену, для прогулок с собакой самое то. Швы аккуратные, фурнитура нормальная. Единственная проблема была с мехом от капюшона, но продавец очень оперативно ответил и вернул часть денег. Я осталась довольная.",positive
64274,"Самые лучшие леггинсы! Качественные, стильные, красивые, универсальные! На свои параметры: 63-89 и рост 173, выбрала размер L, сели отлично! К покупке определённо рекомендую! Подбортный отзыв тут: https://m.itao.com/detail/show.htm?postId=10007467521273&lang=ru",positive
49324,обычная кофточка а не свитер ( но приятная не пушистая вовсе. размер л на 46российский впритык.,neautral
41178,"Товар не пришёл,продавец вернул деньги,за это ему 3 звезды))",neautral
28972,Само качесто товара не оправдало ожидания. Вы здесь абсолютно не при чем!,neautral
71666,Все хорошо и все 5 ставлю кроме соответствия товара...рукава ну ещё бы 3-4 см и было бы идеально!Качество отличное без запаха!Продавца рекомендую!),positive
67248,Нет слов. Очень удобные и качественные.,positive
12343,"Шло 3 месяца, никакого возврата , даже частичного ",negative
78080,красивый шарф. нежный и мягкий. доставка быстрая. рекомендую продавца и товар,positive
55554,хорошая кофточка,positive
44749,"качество желает лучшего, пошив отвратительный, швы кривые, нитки
 торчат, запах ужасен, на вид роба, не стоит этих денег. единственный плюс , быстрая доставка",neautral
57389,Хорошая блузочка свободного кроя. Ткань натуральная.,positive
75169,"Кофта, очень приятная к телу.Ткань мягкая,нитки не торчат.швы аккуратные.по размеру все подошло ",positive
33763,"В целом не плохая куртка, тёплая, мягкая. Но есть недочёты: торчат нитки, рукав проложен другим материалом ( менее тёплым). Ни мех, ни капюшон не отстёгиваются.",neautral
66585,XL подходит на 46 йразмерюПлащ понравился...всё как на фото..Доставка быстрая..отслеживалась..,positive
42984,левая сторона платья оказалась длиннее правой и ещё на ней есть дырочка визуально когда надеваешь платье низ смотрится не красиво,neautral
24183,"Ждала с мая по сентябрь,но так и не получила свой заказ .Продавец деньги возвращать не хотел,три раза просил закрывать спор и обещал,что посылка вот-вот придёт.На третий раз спор закрывать не стала, ali вернул деньги.",negative
81555,"кофточка понравилась,на размер 46 подошла очень хорошо не короткая.Рукав тоже по длине сидит идеально.Яркая,нарядная.Советую.Горло как на картинке-это просто такая задумка.",positive
1564,"Заказывала две пары, ни одна не пришла и уже больше недели не возвращают деньги, копейки, но все же",negative
41122,"Unfortunately, the description of the item, the photo does not correspond to the actually received the order.....",neautral
30210,Таблица размеров не соответствует.,neautral
32912,очень большая смотрится,neautral
3096,"Платье похоже на мешок с карманами, огромное. Ткань синтетика средней плотности.",negative
53744,"Пришло быстро, описанию соответствует. Не просвечивает, белья не видно. Но не держит форму совершенно, один вечер носки - и как-будто на мне растянутая футболка. На рост 158, 48кг гораздо выше колена. Фотографировать себя в нем даже стремно.",neautral
47330,очень узко под руками,neautral
48522,"Джинсы очень странные. Не сидят вообще никак. В талии почти нормально, на попе сели, а вот перед и ноги... Пытаюсь решить как ушивать... По размерной сетке параметры что указаны, все вроде норм, а вот про обхват ноги там ничего не сказано. Купила самые маленькие. И все равно на слона.",neautral
81827,Мой любимый продавец! Качество и доставка супер! Спасибо!,positive
43914,"3 сентября сделала заказ, отправлен 26 сентября, получен 1 ноября.",neautral
52718,"свитер очень толстый, везде торчат нитки, белая полоска местами окрашена в розовый цвет",neautral
23369,"настолько плохо, что говорить не хочется.
качество так себе, но в целом пойдёт.
больше растроил продавец, который просто забыл отправить товар. толстовка дошла за 11 дней, но он ее больше месяца не отправлял!
по итогу спустя почти 2 месяца она пришла.
лучше заказать что нибудь другое, и не у этого продавца",negative
20259,"товар не пришел, 
деньги долго не отправляют
капеец",negative
75250,"ношу 44, подошло идеально)затяжек нет, цвет как на картинке",positive
5721,"Продавец прислал другую модель, но тоже белого цвета. Пришли две одинаковые кофты, только что разного цвета. Не внимательны совсем...",negative
49046,очень маленькая! на картинки лучше!,neautral
68069,"Юбка суперская. Смотрится дорого. Туговата резинка,но мне это не мешает.Спасибо большое продавцу. Буду заказывать еще в других цветах. Продавца и товар рекомендую!!!!!",positive
77981,очень приятный к телу,positive
4565,"Ждала больше 3 месяцев, но товар так до меня и не доехал к моему большому сожалению, открыла спор, продавец сразу отреагировал и сказал в кротчайшие сроки вернет деньги.",negative
2541,"Товар долго доставляли, продлевали уже защиту, открыл спор - вернули деньги! ",negative
43514,Товар не соответствует размеру. Очень жаль. 3хl на 46/48 и ни как на 50-52. Очень обидно. ,neautral
25951,"Посылка пришла быстро. полувер мал нужно было на размер больше закахывать 
 окантовка ворота пришита. Цвет не такой ярктй как на фото. скорее грязно желтый.",negative
11265,"материал голимая синтетика, тело не дышет. материал не такой как на картинке, и цвет очень отличается!!! на картинке четкий цвет а пришло вообще светлое бежевое платье. сидит нормально. по поводу доставки это вообще ужас, пол месяца продавец отправлял и кормил завтраками!  Вообщем доставка очень долгая при том что я выбрала платную доставку шло без нескольких дней 3 месяца. Я в шоке, вообще не довольна!",negative
54169,Очень короткая((((,neautral
51462,"неприятный запах и в некоторых местах торчат нитки,но это поправимо)",neautral
68116,"Супер платье,быстрая доставка,советую ",positive
41414,"Качество плохое,деньги  вернули ",neautral
68053,Отличная пижамка за эти деньги! На 90-67-95 подошел размер М! Пришло в спб за 8 дней.,positive
28030,На объем груди 102 эта блузка будет мала,neautral
807,"Девочки не берите!!!!Цена этой куртки рублей 500,не больше.Подол просто отрублен,не обшит резинкой,как рукава и капюшон,вонючая,пух лезет,после стирки сбился в комки.Я мужу и сыну заказывала куртки такого же формата,они пришли хорошие,но это же ппц!Спор открыла на возврат половины суммы,прод принял,но деньги не вернул!Не связывайтесь!!!",negative
8108,"товар не пришел, продавец не отвечает, деньги не вернули!! не советую!!",negative
44915,"маечка коротковата на рост 173,ткань синтетика,но за такую цену пойдет",neautral
55577,Симпатичное платьице. Не знаю правда куда в таком виде смогу пойти) ,positive
76403,"вааааайтакая классная
футболка, пришла раньше назначенного срока) на два дня раньше пришла; качество нормальное, буквы сразу не слезут, нитка торчит, но поправимо, она не несущая)  подошла хорошопозже закажу белую. я на радоваться не могу, тк у нас таких не продают(((продавца рекомендую",positive
56842,"тонкая,теплая,современная, мне понравилась, спасибо",positive
75192,"До Брянской области пакет дошел за 16 дней, очень быстро, если к этому учесть что был праздник. Трусики упакованы хорошо в индивидуальный черный полиэтиленовый пакет.
Отзыв от жены:
Трусики отличного качества, швы ровные, нитки не торчат все очень аккуратно сделано. На теле приятно сидят, резинка не давит. После стирки не полиняли и не сели. Я очень довольна. Продавца и товар рекомендую.",positive
64847,"Отличные трусики, по размеру, очень хорошее качество. Очень довольна, буду заказывать еще.
Спасибо продавцу!",positive
28315,"мне кофта понравилась, пока немного лезет, но надеюсь после стирки всё будет ок",neautral
51747,"слишком короткая,и в добавок узкая.на 44 заказала м маловато.",neautral
78173,Платье идеально. Покупала для работы. Не пожалела! Спасибо!,positive
46333,Цвет не тот что на фото！Заказывал темно-серый а пришел светло-пепельный,neautral
14606,"Платье малюсенькое(как-будто на ребёнка сшито ) естественно, я просто не влезла !выбрав размер по таблице продавца , была уверена ,что должно подойти...конечно, получив платье я разочаровалась , ведь я так долго его ждала :(  ",negative
23720,"заказ так и не пришол, открыла спор. решили конфликт только с помощью сайта.Очень обидно. Заказывала второй раз, в первый пришло быстро.",negative
11530,"НЕ СОВЕТУЮ ПОКУПАТЬ ЭТУ КУРТКУ! ВО ПЕРВЫХ ОНА НЕ ДЛЯ ХОЛОДНОЙ ЗИМЫ! ВО ВТОРЫХ, Я ЗАКАЗАЛА КУРТКУ 11 НОЯБРЯ, А ПОЛУЧИЛА ПОЧТИ В КОНЦЕ ДЕКАБРЯ! В ТРЕТЬИХ, НИТКИ ТОРЧАТ, И В КАРМАНЕ ДЫРКА! ЦЕНА ЭТОЙ КУРТКИ МАКСИМУМ 2000 ТЫСЯЧИ И НЕ БОЛЬШЕ!!! НЕ БЕРИТЕ!!! ",negative
16075,размер совсем не соответствует и паршивый пошив резинка пришита к материалу продавец наглый .Открыла спор деньги вернули,negative
13728,товар не пришел.деньги вернули.,negative
17982,"Продавец отправил посылку по не верному адресу и не хотел возвращать деньги , пришлось открывать спор .",negative
31603,Кофта пришла с пятном. ,neautral
11400,"Более отвратительного качества я не встречала, материал скрипучая синтетика, напоминающая дешевый флис. Короткая, при моем среднем росте виден пупок. Ужас!!! 50 рублей за такую тряпку жалко!!!!",negative
53140,"The quality of the product is terrible, stains on the fabric sleeve sewn is not correct, disappointed. Very long delivery.",neautral
21472,"Трек не отслеживался. Товар не пришел. Продавец уговаривал не открывать спор, хотя прошло 59 дней. После того, как я открыла спор, продавец опять же уговаривала закрыть спор. При споре изначально продавец отказывалась вернуть деньги. В итоге все-таки соизволили вернуть деньги. Не советую заказывать. ",negative
47992,"Размер М на бёдра 95 очень короткий, как трусы ",neautral
5197,"размер не совпадает, колючая кофта, не понравилось, передарю кому-нибудь",negative
55575,"Джинсы понравились, но нужно было на 1 размер больше покупать. Сидеть в них сложно",positive
47315,"Длина указывалась другая. Написано длина не правильная, на деле оказалось гораздо меньше. Это платье на маленькую и худую женщину.",neautral
11739,"Шов плеча одного на плече, а шов другого плеча практически над грудью. Полностью перекошенная вещь. Уже выкинула эту блузку. ",negative
17574,Качество   нармальное но размеры у вас не правельные   я делала все замеры но в итоге пришли маленькие только на подростка 6xL  а они  маленькие так что я осталась не довольная так как хотела приобрести брюки для того что бы ходить а не для того что  бы они лежали так  получается что я выкинула деньги на ветер?,negative
